"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-07","4.3",,"6.4","0.0","0.0",,"13.3","0.6",,"  280","  290","10.7","20.6","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-08","3.3",,"0.0","0.0","0.0",,"5.0","-1.0",,"  290","  270","8.1","12.5",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-09","2.6",,"0.0","0.0","0.0",,"6.7","-0.5",,"  250","  250","5.8","8.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-10","2.8",,"9.4","0.0","0.0",,"8.3","5.6",,"  230","  240","6.3","10.3","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-11","1.6",,"7.1","0.0","0.0",,"8.9","6.1",,"  300","  300","6.3","9.4","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-12","2.4",,"3.3","0.0","0.0",,"7.8","2.8",,"  300","  300","7.2","12.1","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-13","1.9",,"9.9","0.0","0.0",,"6.7","2.8",,"  290","  280","6.3","11.2","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-14","3.3",,"0.0","0.0","0.0",,"4.4","-7.7",,"  300","  300","8.9","14.3",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-15","2.2",,"0.0","0.0","0.0",,"-0.5","-9.9",,"  220","  240","7.6","10.7",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-16","2.5",,"0.0","0.0","0.0",,"6.7","-1.0",,"  220","  220","6.7","10.3",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-17","2.3",,"0.0","0.0","0.0",,"10.6","3.3",,"   50","   50","7.6","12.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-18","2.8",,"0.0","0.0","0.0",,"8.3","3.3",,"   80","  100","6.7","9.4","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-19","3.3",,"0.0","0.0","0.0",,"8.9","0.0",,"  300","  310","7.6","12.1","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-20","2.6",,"0.0","0.0","0.0",,"1.7","-3.2",,"  260","  340","6.7","9.8",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-21","2.4",,"0.0","0.0","0.0",,"1.7","-6.6",,"  350","  330","6.7","9.4",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-22","2.8",,"0.0","0.0","0.0",,"10.0","-1.0",,"  240","  220","6.3","10.3",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-23","2.0",,"0.0","0.0","0.0",,"13.3","3.9",,"  230","  230","5.8","8.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-24","1.3",,"0.0","0.0","0.0",,"16.7","5.0",,"  140","  140","5.4","6.7",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-25","1.7",,"3.6","0.0","0.0",,"11.7","7.8",,"   60","  220","5.4","7.6","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-26","3.2",,"0.0","0.0","0.0",,"8.9","6.1",,"  100","  120","6.3","10.3","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-27","5.7",,"10.2","0.0","0.0",,"6.1","-0.5",,"  280","  290","12.5","19.7","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-28","4.4",,"0.0","0.0","0.0",,"5.6","-1.6",,"  270","  230","9.4","15.2",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-02-29","3.9",,"0.0","0.0","0.0",,"1.7","-3.8",,"  300","  330","8.1","13.4",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-01","2.7",,"0.0","0.0","0.0",,"6.7","-3.8",,"  280","  270","6.7","11.2",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-02","2.9",,"0.0","0.0","0.0",,"14.4","4.4",,"  220","  220","6.7","10.3",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-03","2.7",,"6.6","0.0","0.0",,"15.0","9.4",,"  260","  280","8.9","14.3","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-04","4.6",,"0.0","0.0","0.0",,"13.3","7.2",,"  280","  280","9.8","15.7",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-05","2.4",,"0.0","0.0","0.0",,"10.6","3.9",,"  300","  310","6.7","10.3",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-06","3.4",,"9.4","0.0","0.0",,"7.2","2.8",,"   30","   30","7.6","13.0","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-07","3.4",,"0.0","0.0","0.0",,"8.9","2.2",,"   20","   10","7.6","12.5",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-08","3.0",,"0.0","0.0","0.0",,"15.0","1.7",,"  240","  240","6.7","10.3",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-03-09","3.3",,"0.0","0.0","0.0",,"22.2","8.3",,"  240","  230","6.7","12.5",,,,,,
